User,Location,Review Date,Rating,Review Highlight,Review,Date of Experience
Sharon  Knight,GB,"Nov 4, 2024",5,Excellent customer service,nice！n!!!!!!!!,"November 04, 2024"
Subhash Sabhlok,GB,"Nov 4, 2024",5,SONAL was exceptionally helpful!,The costumer agent gave me a great answer,"November 04, 2024"
Andy B,GB,"Nov 4, 2024",5,Exceptional service,Today I had an issue with my Lebara number. I have contacted the costmer care. Mr. Abhishek has responded very well and solved my problem,"November 04, 2024"
Consumer,GB,"Nov 4, 2024",5,Pratik,Agent: AdityaReally helpful! She is nice and kind!,"November 04, 2024"
Vaibs Naregal,GB,"Nov 4, 2024",5,Santosh was excellent!,"Abdul Qavi, customer service officer, very polite and friendly, professional","November 04, 2024"
customer,GB,"Nov 4, 2024",5,Excellent service,Akshay helped me to set up international SMS on my Lebara account and he was really helpful.,"November 04, 2024"
Sylvester Conway,GB,"Nov 4, 2024",5,Aniket was very helpful,so quick response from priyanka A.very happy about the service by lebara.Its simply amazing,"November 04, 2024"
Rick,GB,"Nov 4, 2024",5,Unable to send SMS messages.,RAAFE BHATKAR helped with my problem very promptly and without an issue. Made for a very pleasant experience and really helped me relax about the situation.,"November 04, 2024"
DN,GB,"Nov 4, 2024",5,Mukesh from Lebara helped my with my…,Kaisia was very helpful and knowledgeable he sorted my issue straight away,"November 04, 2024"
Satish Kumar Sampath,GB,"Nov 4, 2024",5,Saba kazi for LEBARA,Quick resolution.  Prompt response,"November 04, 2024"
John p,GB,"Nov 4, 2024",5,Very helpful agent,I’m happy that my network is fixed by the agent’s advice and help! Very helpful!,"November 04, 2024"
赵倩颜,GB,"Nov 4, 2024",5,Santosh help me solve the refund…,Good customer service RAAFE BHATKAR helped me very efficiently,"November 04, 2024"
Consumer,GB,"Nov 4, 2024",5,Raunak Was an absolute legend,Amazing service,"November 04, 2024"
Leo,GB,"Nov 4, 2024",5,Raunak is great.,Great quick and professional support from Akshay. I moved my number from Lycamobile due to constant issues with reception following my daughter advice. So far Lebara works so much better.,"November 04, 2024"
Deepak Rohilla,GB,"Nov 4, 2024",5,Soft spoken,Akshay was really helpful and resolved the issue quickly,"November 04, 2024"
Jalaj,GB,"Nov 4, 2024",5,Neha has given excellent service.,The customer service assistant was clear and helpful and resolved the problem.,"November 04, 2024"
Livi,GB,"Nov 4, 2024",5,Pushkar really gave very quick feedback…,Was fantastic,"November 04, 2024"
Ataan Aslaa,GB,"Nov 4, 2024",5,Best 5G Internet Ever,Very patient and professional service,"November 01, 2024"
Kaiya James,GB,"Nov 4, 2024",5,Nitin was very helpful and professional,"“I want to express my appreciation for Akshay. He provided outstanding service, demonstrating great knowledge and responsiveness throughout my inquiry. His assistance made the process smooth and enjoyable. Thank you, Akshay, for your excellent support!”","November 04, 2024"
Khalid,GB,"Nov 4, 2024",5,Good service,"I had been using my first phone with a Lebara card for 18 months without problems until last week when I found I had burned through my monthly 5GB allowance in a fortnight. I am not a heavy user and was perplexed at having apparently used so much.I rang CS and got friendly and helpful service from Imran Khairdi who restored my service without charge by giving me a new month's data plan starting from the day I was cut off, i.e. the previous fortnight's use was, effectively, not charged for.I was nervous about contacting Lebara, thinking they would basically say 'tough' but not a bit of it. I will never know what used up my month's data so fast - and they couldn't tell me, either - but I am relieved to be back online so quickly and at cost only to Lebara, not myself.Thank you, Imran and Lebara, it's a joy to find such helpful and pleasant people on the end of the CS phone, it's often not the case with other companies. Didn't have to wait long for my call to be answered, either.One satisfied customer. :)EDIT: It turned out to be my new TV, which I hadn't connected to my WiFi and which was draining my data. Sorted it out with my broadband service provider but am disappointed that no-one at Lebara - and I phoned a second time - thought to ask me if I had a new device that might be causing the problem. Second person I spoke to suggested I pay for more data! So one star deducted for this but am still happy with the generous way in which Imran helped me out.","November 04, 2024"
Consumer,GB,"Nov 4, 2024",5,Priya Thakre thank you so much,Pushkar was great.Helped me find all the relevant information and connect when I needed to. Thanks again Pushkar!,"November 04, 2024"
JP,GB,"Nov 4, 2024",5,Priyanka A was really helpful,"I had a problem of the number I am using been registered in another person's name and so,could not convert £20 to 200 Nigerian minutes. I called and was connected to Glory who patiently listened to my explanation on how I got the line and how I ve been using it since entering the UK in December 2022,and how I am unable to use it because it wasn't registered in my name. She (Glory) asked me to mention 4 last digits of numbers I called and after giving the numbers,she explained that the problem is that the line is still registered in d last user's email address and she proceeded to activate the process of getting the line registered in my details, which I will do on Monday, 4th November, 2024.I am very impressed with the professional way Glory handled the issue I raised with her and how she brought a mosr satisfactory closure to it. I recommend her for a Customer Service Award of Excellence, if the Lebara Network offers such. Thank you.Victor Chinedum Ezebuiro235 Oxhill RoadHandsworth, B21 8HABirmingham","November 04, 2024"
Harpreet Sidhu,GB,"Nov 4, 2024",5,Excellent service 👏 today with Lebara,Friendly and fast customer service,"November 04, 2024"
Jonathan Barnett,GB,"Nov 4, 2024",5,Prompt and efficient service,"Helpful, polite .","November 04, 2024"
penny barker,GB,"Nov 4, 2024",5,Wanted to upgrade my plan,Ashpak helped me a lot.,"November 04, 2024"
Wei,GB,"Nov 4, 2024",5,Akshay from Lebara manage to help me…,Akshay was very attentive and extremely helpful. I would happily use Lebara chat in future and recommend it to anyone.,"November 04, 2024"
wong,HK,"Nov 4, 2024",4,Selvaraj did offer sufficient…,very good service.Exactly solve my problem!,"November 04, 2024"
jon Woodford,GB,"Nov 4, 2024",5,Mukesh helped to solve problem,"I really liked how Raafe Bhatkar responded to my chats quickly and even offered to send me a replacement SIM card quickly when my phone was stolen over the weekend. He made sure my phone and information were safe and responded quickly and in detail. And after I received the SIM card, he said if I asked them for help, he would help me keep my existing number. Thanks.","November 04, 2024"
Nancy,GB,"Nov 4, 2024",5,Prateek,Changed from EE to Lebara.  EE were very difficult with the change but once I finally got with Lebara everything has worked well.,"November 04, 2024"
Matt,GB,"Nov 4, 2024",5,Very helpful,Sagar helped me today. He was quick and really really kind to me.Heads up to him. Everything was done quickly and effectively.,"November 04, 2024"
Dan,GB,"Nov 4, 2024",5,Prathmesh was very helpful in sorting…,The customer service agent Siddhant Vardha was very patient and helpful. I got swift support with an issue,"November 04, 2024"
Kishore Kola,GB,"Nov 4, 2024",5,Helpful and friendly,Pushkar was very helpful and solved my problem quickly.,"November 04, 2024"
Gareth,GB,"Nov 4, 2024",5,Just really helpful and the best  jim…,"Roaming policy was unclear, but they were quick to clarify and offered a plan as good will. Thanks to Sagar for their help.","November 04, 2024"
Patrick Olufemi,GB,"Nov 4, 2024",4,Quick and positive response to issues…,"Excellent service from lebera customer care ,especially Geetanjali.Good communication","November 04, 2024"
Chris Hallam,GB,"Nov 4, 2024",5,Great chat service !,Been with lebara a few years now fantastic telecommunications company pleasure to deal with and absolutely brilliant staff would recommend 💯,"November 04, 2024"
Gordon,GB,"Nov 4, 2024",5,Helped with what I needed,Very good service and they talk to us very nicely to solve the problem,"November 04, 2024"
Mishi Chandel,GB,"Updated Nov 5, 2024",5,Resolving an Issue,"Sagar, the customer service was able to get it all sorted without issue","November 04, 2024"
lei zhang,GB,"Nov 4, 2024",5,Priyanka A processed quickly and I was…,Helpful and efficient,"November 04, 2024"
Sloo Leigh,GB,"Nov 4, 2024",5,Patnaik was very helpful,Quick response,"November 04, 2024"
Nikhil,DE,"Nov 4, 2024",5,Happy experience once again with…,Good customer service,"November 04, 2024"
a ahmed,GB,"Nov 4, 2024",5,Quick and efficient.,When I first reached out I was feeling very frustrated as a result of my account problems but Jitendriya D was polite and professional and got right to the problem quickly and solved it without hassle. I'm very happy with my experience.,"November 04, 2024"
Katherine,GB,"Nov 4, 2024",5,Nitin Quick and efficient,Priyanka A was courteous and professional. Giving me exactly the help I needed to resolve my issue promptly,"November 04, 2024"
Samantha,GB,"Nov 4, 2024",5,Was having a few issues sorting port-in…,Raunak was very helpful polite and professional. My problem solved.,"November 04, 2024"
Janice H,US,"Nov 4, 2024",5,The advisor allowed me 2mb data extra…,"I would like to take a moment to express my appreciation for the prompt and efficient assistance I received from your representative, Vivek D during my recent call regarding a double charge on my mobile account.Vivek was not only courteous and professional, but he also took immediate action to address my refund request. His knowledge of the process and willingness to help made a potentially frustrating situation much easier to navigate. I felt reassured knowing that my concern was in capable hands.Thank you for having such dedicated team members like Vivek. His exemplary service truly reflects well on your organization.","November 04, 2024"
Mr Brian Lazenby,GB,"Nov 4, 2024",5,I had an online chat with Rachel,Great and quick solution from Priya Thakre. Much appreciated!,"November 04, 2024"
Ionel Plescan,GB,"Nov 4, 2024",5,Very good,"I have been with Lebara a year £5 a month why doesn’t everyone join it’s absolutely a no brainier, never had a problem","November 04, 2024"
Steve Rushaw,GB,"Nov 4, 2024",5,Excellent customer service and problem…,Good customer service,"November 04, 2024"
Odair Baía,GB,"Nov 3, 2024",5,Issue with text mensagem,Thank you chinmaya,"November 03, 2024"
Sunny Baba,GB,"Nov 3, 2024",5,Absolutely amazing customer services by…,"2nd poor review in an attempt to get our problem solved!Another week, another disappointing experience - this time with my son's phone. He has been unable to make or recieve phone calls for 2 weeks (possibly longer as it may have taken a while to realise there was a problem).Multiple phone calls, chats and excuses. Everything from call divert had been activated (not by us), problems with the network in my area, blaming my the handset (have tried in a different handset), sending a replacement SIM, waiting 48 hours each time I was given a reason...they even tried calling the phone that isn't working instead of myself despite promises that my number had been noted.So much time spent trying to sort this out.So we have had enough! We shall be leaving Lebara when this month's contract is up, unless the problem is fixed.I think it only fair to point out that friends who use them have had no issues. Perhaps we are just unlucky.","November 03, 2024"
wilf gowing,GB,"Nov 3, 2024",5,Sorted thanks,Anurag Thripathi was highly exceptional in assisting me to recharge my voucher and went further to show me how to do it myself going forward,"November 03, 2024"
Ashraf,GB,"Nov 3, 2024",5,Very well trained customer service agent.,It was my first time lebara’s customer service support for my concern. My concern has been dealt with honesty and professionalism. Fariyaz has helped me get through the process of switching into a different subscription with ease. It was a hassle free experience.,"November 03, 2024"
Rishabh Ranjan,GB,"Nov 3, 2024",5,Guy is too humble and nice Siddharth…,Priya Thakre was very polite and helpful and resolved my query straight away.,"November 03, 2024"
Susan Roberts,GB,"Nov 3, 2024",5,Prateek was very helpful and sorted the…,Akshay is prompt to reply and kindly resolved my issue!,"November 03, 2024"
Mark Thomas,GB,"Nov 3, 2024",5,Superb service from Aniket,Great customer service from Anurag Tripathi today.He did his very best to help with our issue,"November 03, 2024"
GP,GB,"Nov 3, 2024",5,Prateek helped me resolve an accidental…,Arnold is extremely helpful in handling request. He was quick and had no doubt about the functionality. He understands business and worked well on my request which made me happy.Thanks cheers,"November 03, 2024"
Camille,GB,"Nov 3, 2024",5,Akshay Was very helpful and quick to…,Arnold is extremely helpful and worked on my issue like a Wizard and handled all my queries.He is working like a professional and I rate him extremely good in communication and the way handle customer,"November 03, 2024"
SAVIOLA RODRIGUES,GB,"Nov 3, 2024",5,Prompt response by Abhishek Patnaik,Sagar was great - very responsive and easy to deal with.,"November 03, 2024"
Graham Cunningham,GB,"Nov 3, 2024",5,Problem of connection simply solved,Arnold did a good job sorting out my query today very pleasing.,"November 03, 2024"
cliff elliott,GB,"Nov 3, 2024",5,Quick and effective,Priyanka was really quick! Thanks,"November 03, 2024"
Paul Webster,GB,"Nov 3, 2024",5,Sanjay was really helpful in helping me…,I had an issue and Sharvari kambel helped me out. Very professional,"November 03, 2024"
Adejoke,GB,"Nov 3, 2024",5,I was well attended to by Sarfraz,"I was troubling to sent my sms from my lebera sim number, and i try to chat with one of your sfaff named faryaz, he gave me the reason for that and the solution. It was solved in less than 1 minute.","November 03, 2024"
Isa Yigit Kilinc,GB,"Nov 3, 2024",5,Thanks to Juveriya,I got a really helpful agent Mukesh who was able to rectify my problem quickly and efficiently. Lebara is certainly recommended.,"November 03, 2024"
Radoslaw Brzostek,GB,"Nov 3, 2024",5,Patnaik He did a great job that I asked…,"Brilliant priya thakre was superb, efficient and clear","November 03, 2024"
Ree,AE,"Nov 3, 2024",5,Great customer care with Raunak!,"Very patient and polite, and solve the problem quickly","November 03, 2024"
Naz Sarac,GB,"Nov 3, 2024",5,Good live chat experience,"Zeeshan was a good lad and he helped me a lot, I wish him all the best.","November 03, 2024"
Neesha Shah,GB,"Nov 3, 2024",5,As my helper was ankit he is really…,Checked my account and sorted my problem by the agent Akshay,"November 03, 2024"
Simi Khan,GB,"Nov 3, 2024",5,Sarfraz helped me solve the problem I…,"good customer servicelove Ashpak, nice customer service!","November 03, 2024"
Rajdeep Saha,GB,"Nov 3, 2024",5,Quick swift repsonse by Raunak,Quick chat replies - knowledgeable answers. The chat operator (Mukesh) was very helpful,"November 03, 2024"
Adejoke Adeyanju,GB,"Nov 3, 2024",5,Excellent customer service…,Fantastic experience. Imran Khairdi was very helpful in sorting my issue.,"November 03, 2024"
Mr Hennessy,GB,"Nov 3, 2024",5,Overseas connection issue…,This person goes the extra mile and more kind and understanding needs more staff like s j,"November 03, 2024"
滕达,GB,"Nov 3, 2024",5,Raunak did a great job,I got the help I needed straight away. Your customer service agent put me through what I need to do on the app.  Abhijeet put me through,"November 03, 2024"
Siqi Wang,GB,"Nov 3, 2024",5,Priyanka A is patient and efficient,Excellent customer service would highly recommend thr on-line chat,"November 03, 2024"
DIANE BOASMAN,GB,"Nov 3, 2024",5,Really helpful and understanding,Spoke to Aadesh today who was so helpful in transferring my existing mobile number to Lebara. He was polite and very patient with the process. Very pleased so far with Lebara and in particular with Aadesh’s great customer service.,"November 03, 2024"
Christine,GB,"Nov 3, 2024",5,Phone suddenly showed 'Not provisioned…,Exellent experiece with Lebara phone assistance! Abhijeet.G went far and beyond delivering the unexpected! Optimum customer service! Thank you again!,"November 03, 2024"
Yiying,GB,"Nov 3, 2024",5,Raunak is very helpful!!,Mohammed was very helpful and answered all my questions.,"November 03, 2024"
Ranjith Ramachandran,GB,"Nov 3, 2024",5,Lebara App Technical Glitch,Mohammed helped with crystal clear instructions. Thank you !,"November 03, 2024"
Hamza Hafeez,GB,"Nov 3, 2024",5,Nice to talk to Lebara customer service…,Excellent service from Shadab. Very patient with an elderly person. Thanks,"November 03, 2024"
hasan tanvir,GB,"Nov 3, 2024",5,My experience,What an excellent customer service experience Nagmukesh provided today. My query was dealt with in minutes and I am very pleased how pleasant and efficient Nagmukesh was. Thanks very much.,"November 03, 2024"
Sivakumar Kalaiselvan,GB,"Nov 3, 2024",5,Mr Pravin is very helpful hope to…,"Arnold has been most helpful, I appreciate very much for the way he has been so professional to me as a costumer thanks again","November 03, 2024"
Brian B,GB,"Nov 3, 2024",5,Query on chat line answered quickly and…,Nitin did a great job. Thank you.,"November 03, 2024"
Kent,GB,"Nov 3, 2024",5,great,Surprising to find a low cost mobile service that also gives good service and signal .,"November 03, 2024"
Jinal Vyas,GB,"Nov 3, 2024",5,Thank you so much for giving me help to…,"Easy to get in contact with a person, helpful and sorted out the problem quickly. Sagar was polite and helpful","November 03, 2024"
David Duda,GB,"Nov 3, 2024",5,Prateek is very friendly and gives very…,"Anum was absolutely great, polite, efficient and very helpful.I am very happy about the support received this morning, thank you","November 03, 2024"
Rf,GB,"Nov 3, 2024",5,online chat function Prateek was outstanding,Great experience with customer service,"November 03, 2024"
Pe,GB,"Nov 3, 2024",5,Prateek was a great help in sorting out…,They did a great job by helping out cancelling an order when I thought it wasn't possible,"November 03, 2024"
James Mabuza,GB,"Nov 3, 2024",5,I had a great experience,Shan is an amazing person sort the issue in minutes . Amazing person amazing service,"November 03, 2024"
Julia,GB,"Nov 3, 2024",5,Punit J,Mukesh was wonderful and sorted my problem out quickly and was very friendly. Great service!,"November 03, 2024"
Louise gormley,GB,"Updated Nov 6, 2024",1,Finally paid,Siddhant Vardha was friendly and helpful and sorted my request asap!,"November 03, 2024"
Brett Mallinder,GB,"Nov 3, 2024",5,Raunak was very patient and helpful,Excellent customer service from Prinkana resolved my issue quickly and efficiently,"November 03, 2024"
samuel igwenagu,GB,"Nov 3, 2024",5,Ruchika was great in his customer…,"Your network in Tewkesbury and many other areas is so poor i don’t get anything. It’s rubbishThanks for responding, I tried getting help from, to sort out poor network and nothing changed, so why do you think you can help me now","November 03, 2024"
Taylah,AU,"Nov 3, 2024",5,Had a very professional and helpful…,"Good afternoon, I had some issues, which I didn't know how to deal with, for quite a while didn't use the mobile number. It was really important for me. I followed by some instructions on lebara.co.uk, but the step I followed there wasn't successful for me. I tried to contact the support team by calling the Lebara info number 5588. And there one of the support team workers - Anurag Tripathi answered to me. It was like a God blessing, Anurag has followed all the important procedure to be perfectly sure that the number I wanted to restore, belongs to me. He gave me straight info, what i needed to do to regain my lebara phone number. I followed his lead, and together with his help, I restored my number. Even when we finished conversation, to restart sim, Anurag have given a callback to check if everything is done for sure, and was pleased to inform me that by the system everything should work by now. Many many thanks to support team of Lebara, especially a huge respect to Anurag Tripathi, nowadays it's hard to find so pleased and helpful people like Anurag. God bless him. Thank you very much.","November 03, 2024"
Raafeh Din,GB,"Nov 3, 2024",5,Cancelling One of Two Bundles,"your agent ""Arrti"" (female) was able to resolve my issues. Alas other agents hadn't been helpful and it took 3 days to complete a porting request, 36 hrs or so of which I had no connectivity - couldn't make or receive calls or messages and had no data. I'd used the PAC suppled by my former provider, Vodafone.","November 03, 2024"
Ehsan,GB,"Nov 3, 2024",5,Great service,"Prakriti could not have been more helpful. She talked me through cancelling my old Lebara number after I lost my original sim. The patiently guided me through registering the new sim, number and paying for a new monthly, unlimited plan.  Thanks Lebara, thanks again Prakriti.","November 03, 2024"
Asif Imam,GB,"Nov 3, 2024",5,Ruchika has been a great help,Nitin was very helpful,"November 03, 2024"
XvX,GB,"Nov 3, 2024",5,Akshay gives the best reply ever in…,Aman is very good customer service assistant. He really helped me alot.,"November 03, 2024"
Bubble,GB,"Nov 3, 2024",5,The customer service is very helpful,"Been with Lebara for around 3 years, I was always on the £5.00 a month contract as I hardly used any data.I have bought a caravan and while still on that contract the signal was perfect but we soon realised there was not eneough data, since going on to a unlimited data contract for £25.00 a month they have throttled the signal, there is not enough signal strengh to do a speed test and is now totally useless.Glad I am only on a monthly contract and will have a look for another provider on a monthly contract, shame.","November 03, 2024"
Sahil Lokhande,GB,"Nov 3, 2024",5,Akshay solved my issue quickly.,"An issue that arose by me (the customer) trying to upgrade, but inadvertently purchasing twice what I needed was resolved quickly and efficiently by Vivek B without any drama or fuss.A fast resolution to my own finger fumble","November 03, 2024"
Consumer,GB,"Nov 3, 2024",5,I had changed my bank account never…,Abhijeet was very polite and extremely knowledgeable. He guided me through the process of changing my email address on my account. I’m very grateful for his help and support.,"November 03, 2024"
John Herry,PK,"Nov 3, 2024",5,The agent Sarfraz was very helpful and…,"Update3#Just got off the phone to an agent, I waited a week to give them a chance. I had to call them back because they have not bothered to get in touch at all, as was promised. This agent is now telling me she is raising this as a complaint and that IT will investigate. This is the same dribble I have heard from every Lebara agent I have spoken to on the phone or on chat. I've been waiting weeks and weeks for this to be sorted. Probably the worst customer service, technical team and company I have ever dealt with. I am paying for this contract to include international calls and I am not getting them. I have had to use other methods to contact people and it has cost me a lot of money. Whatever you do, do not go with this company, find a respected company with a decent customer services rating.","November 03, 2024"
Baranidharan,GB,"Nov 3, 2024",5,Upgraded plan offer from a helpful Lebara associate,"They representative, Sangeeta, was able to understand my issue well and guide me through the remedial steps easily. The conversation was a breeze. Good support and welcome gestures by Libara. Happy to a user!","November 03, 2024"
Gary,GB,"Nov 3, 2024",5,Sahil Pathan was able to helped me with…,Aditya was very helpful over chat in resolving my mobile data problem.,"November 03, 2024"
Consumer,GB,"Nov 3, 2024",5,Pushkar made the experience amazing for…,"Techhie help on 5588 just superb, grasped the problem straight away and sorted, all so polite and friendly, cannot recommend Lebara enough. Thank you Vishal.b and all your colleagues. Great service.","November 03, 2024"
Arthen Colas,GB,"Nov 3, 2024",5,He is really accommodating person,Your agent was extremely helpful and also very patient and courteous.I would not have been able to manage without her as she was very knowledgeable and her English was excellent,"November 03, 2024"
海棠,GB,"Nov 3, 2024",5,Thanks Priya Thakre,I felt really valued and was offered a very quick solution that I was happy with.Please keep up the good work to make customers happy.,"November 03, 2024"
jyothilekshmi suresh,GB,"Nov 3, 2024",5,I faced a problem with lebara and chat…,"I did live chat with Fariyaz at 13.43 and by 13.48 he had sorted out my refund. Unbelievable, I have waited longer than 5 mins for my bank to answer the phone let alone get a reference for the refund!! Great work Fariyaz!!!! Thank you for your help.","November 03, 2024"
Pingping Lai,GB,"Nov 3, 2024",5,Thanks note for Sarfraz,"I had two issues with two different mobile numbers and the call advisor Niyamat, resolved both of them quickly and efficiently. He also took the time to talk me through how to check and fix the query on the call.","November 03, 2024"
Amie,ZA,"Nov 3, 2024",1,Pay for all my declined fees,Very helpful positive attitude,"November 03, 2024"
jeremy jones,GB,"Nov 2, 2024",4,Mohammed was helpful went out way to…,Apurva J - Fantastic live chat experience today. I’m a new customer and had issues accessing my log in. Within 5 minutes they had me into my account and good to go. Thank you x100,"November 02, 2024"
Charlene Bernard,AU,"Nov 2, 2024",5,Puneet Desai is amazing,Talk my issue with calm and kindness as I usually panic when I get the agenda concerning the process,"November 02, 2024"
Mr Alan Bysouth,GB,"Nov 2, 2024",5,Quick and patient,Lebara is serving me so well and the customer service I had today from Anurag Tripathi was a great one. But Nigeria is not among the international minutes?,"November 02, 2024"
dawid,GB,"Nov 2, 2024",5,I'm long time stey with Lebara and…,Very helpful thanks,"November 02, 2024"
Munir Zaman,GB,"Nov 2, 2024",5,Lebara Agent Madhuri assisted me today…,He give me good advise (His name is Armet),"November 02, 2024"
Emmanuel Fawehinmi,GB,"Nov 2, 2024",5,Abdul Qavi promptly resolved my issue…,I got excellent assist from call centre service staff named Amit Kamble. He is very nice and assist with good care and fast.,"November 02, 2024"
Anuradha Dorlikar,GB,"Nov 2, 2024",5,Exceptionally polite professional.,"I had the most frustrating issue with my network and SIM card not working for over a week and called multiple times but only Aadesh was able to sort it out with lots of patience and professionalism. Thank you again, Aadesh!","November 02, 2024"
Aijaz Divecha,GB,"Nov 2, 2024",5,"""Very professional and excellent customer service""",Who gives these guys 5* maybe friends and family£15 40 go data not even 1 day I kept getting messages “you have used 2 go of data then 5 gb and my shows only 100mb usage”This a scam never ever again,"November 02, 2024"
harish Suneja,GB,"Nov 2, 2024",5,Imran khairdi spoke very well,Total fail for Lebara mobile.  I was relying on mobile data yesterday as moving house so home wifi had been disconnected.  No mobile data working and calls not getting through.  Delayed moving as I could not make or receive calls for several hours.  Would have felt safer in the 80s when at least I could rely on telephone boxes.,"November 02, 2024"
tr p,GB,"Nov 2, 2024",5,Satisfied Customer Service,"Prakrit was very patient and explain the answer to my question extremely well and clear.She also gave me a free top up to my balance as a good will gesture .She also sent me the link to my top up balance which I can use for topping up if required at any time.I am very pleased with my Labara sim and have recently suggested to my husband snd friend to join Labara , which they have done.Thank you again Prakriti you are an excellent colleague working on behalf of Labara.You Certainly deserve 5 🌟’s","November 02, 2024"
Philip  Lam,GB,"Nov 2, 2024",5,Replacement sim card activation,Good service,"November 02, 2024"
Humaira Anjum,GB,"Nov 2, 2024",5,Quick response,"I would like to express my appreciation to the CS agent - Sarfraz. He save my life. The incident is I accidentally turned off the plan auto new function and my plan couldn’t be renewed today. When I can get a stable WiFi network, I texted and contacted Lebara CS immediately and Sarfraz is the one allocated for me. I told him my issue then he first verified my account details which is really important to make sure I am the real user. After that, he helped me to reactivate my plan as well as turn on the auto rew again. During the whole conversation, Sarfraz handles the case tactfully and patiently. After he has done all the process. He even waited for me to make sure I am able to get the data network and work well. TBH, not much CS having this positive attitude nowadays. I am so happy and lucky to be served by Lebara although the data network still not fully coverage in UK and need a big improvement in somewhere.Besides, Sarfraz is not the only one who has helped me with the plan, most of the CS in Lebara are nice and helpful. Please keep this good work up. UK really need this courtesy customer service when handling with customers.","November 02, 2024"
salini ps,GB,"Nov 2, 2024",5,Geethajali she is verygood,issue was understood and resolved quickly.  Response is very much satisfied. Thanks for Lebara for keeping such a great customer support,"November 02, 2024"
Terry Browning,GB,"Nov 2, 2024",5,Raunak swiftly resolved my issue in…,"I have talked to Patnaik today,having a issue with my top up plans.he is kind and rectify my issues quickly. He did his excellent, thank you","November 02, 2024"
Adrian,GB,"Nov 2, 2024",5,Raunak was very knowledgeable & helpful,Good ServicePoliteExcellentThanks,"November 02, 2024"
irianna alexopoulou,GR,"Nov 2, 2024",5,Akshay has been very helpful answering…,The guy that attended to me was so patient with me until I was able to resolve my challenges. He's really good at his job and customer service. He's name is Nitin,"November 02, 2024"
Robin Amet,GB,"Nov 2, 2024",5,Arnold resolved my issue in no time,Great experience talking to Mr ChinayaHe was very professional and helpful,"November 02, 2024"
Sunny Liu,GB,"Nov 2, 2024",5,nice,Vishal.B was very helpful in resolving the query I had about the correct fee for my Lebara plan. He confirmed that the fee was £6 for the 7GB plan.,"November 02, 2024"
sai satishkumar,GB,"Nov 2, 2024",5,Akshay has good technical knowledge.,I will say how lucky I was to get a nice woman on the line because sometimes you can get people that don't help very good she did everything I wanted with no problems and she had a very nice manner so she deserves 5 stars xx,"November 02, 2024"
IDOWU AJAYI,GB,"Nov 2, 2024",5,I got a good response and I was happy with the response thank you,"Abhjeet Galkwad was fantastic! I accidentally topped up one hour later than expected and I asked him if I could have the same plan. He said he would ask on my behalf and he told me to wait on hold. Two minutes later he came back and said that he had done it and that it would start working straight away! Thank goodness for him and his excellent customer service, as I hadn’t called my mum in a while. Thank you Lebara for your support and excellent staff who helped me out in this difficult situation. Today is my birthday so I’m so happy and grateful!","November 02, 2024"
Kusuma Kuppili,GB,"Nov 2, 2024",5,Today I had an issue with my Lebara…,Shan was extremely helpful and my issue was addressed in few minutes. Thank you Shan,"November 02, 2024"
Wang Chongliang,GB,"Nov 2, 2024",5,Agent Aditya,Had an issue with my data but was soon sorted by Jitendryia D. Thank you.,"November 02, 2024"
Sithy N,GB,"Nov 2, 2024",5,Abdul Qavi,My Data had run out and I contacted the customer care of Lebara. Vivek D helped me with the plans and supported me and ensured the details were all correct. This was very informative and helpful. Vivek was very approachable and that really helped me.,"November 02, 2024"
Ebel,GB,"Nov 2, 2024",5,Helped me set up international SMS,Aditya was very helpful and reassured me that my plan downgrade was confirmed. Waited a bit for cross-examination but wasn't left hanging. Reasonably smooth experience.,"November 02, 2024"
Eldho Jose,GB,"Nov 2, 2024",5,so quick response from priyanka A A.,"Priya was very helpful, made it an easy change to my account","November 02, 2024"
Ryan,GB,"Nov 2, 2024",5,Great customer service,RefundRaunak was very helpful and arranged a refund for a local mobile signal coverage being down for a month.,"November 02, 2024"
Kevin Taylor,GB,"Nov 2, 2024",5,Kaisia was very helpful and…,"NEVER MIND THE RESTBE ASSURED THIS IS CUSTOMER SERVICE.JUST NOW SPOKE TO A LADY MISS RATUJA, OUTSTANDING FOR THE TRACK RECORD LEBARA HOLD ON AS FAR AS CUSTOMER SERVICE'S GO. EVERY TIME.CAN'T GO WRONG WITH THIS HIGH LEVEL OF SERVICETHANK YOUMUSAWAR A","November 02, 2024"
Rajeev Choudhary,GB,"Nov 2, 2024",5,Quick resolution,"Sanjeev U was courteous and supersupportive when I phoned today regarding my mobile data. I've always had excellent experience with staff each time I contacted. I have been a happy customer of LebaraMobile for close to 2 years now, services has been reliable. Many thanks Sanjeev U and the entire LebaraMobile family. I would recommend this company 24/7. Great!","November 02, 2024"
Zoe Li,GB,"Nov 2, 2024",5,Very satisfied with the chat,Shadab K was assisting me with a plan switch. All went smoothly the costumer service is friendly and fast. I had no major problems with the provider in the last 2 years. The service is better than Vodafone or 3 because the onboarding is more pragmatic and simple. Also the roaming in EU is default included no activation needed. Great for frequent travellers.,"November 02, 2024"
Consumer,AU,"Nov 2, 2024",5,Good customer service RAAFE BHATKAR…,I was on chat with Priya Thakre about cancelling my contract it was done in less than 5 mins Priya made my life so much easier and got my job done really appreciate your help Priya and keep up good work xx,"November 02, 2024"
